old_player_id,new_player_id,old_club_id,old_league_id,player_name
player_aaron_ramsdale,11_1,club_arsenal,00_1,Ramsdale
player_david_raya,11_2,club_arsenal,00_1,Raya
player_william_saliba,11_3,club_arsenal,00_1,Saliba
player_gabriel_magalhaes,11_4,club_arsenal,00_1,Gabriel
player_ben_white,11_5,club_arsenal,00_1,White
player_oleksandr_zinchenko,11_6,club_arsenal,00_1,Zinchenko
player_jurrien_timber,11_7,club_arsenal,00_1,Timber
player_takehiro_tomiyasu,11_8,club_arsenal,00_1,Tomiyasu
player_thomas_partey,11_9,club_arsenal,00_1,Partey
player_declan_rice,11_10,club_arsenal,00_1,Rice
player_martin_odegaard,11_11,club_arsenal,00_1,Ødegaard
player_kai_havertz,11_12,club_arsenal,00_1,Havertz
player_bukayo_saka,11_13,club_arsenal,00_1,Saka
player_gabriel_martinellli,11_14,club_arsenal,00_1,Martinelli
player_leandro_trossard,11_15,club_arsenal,00_1,Trossard
player_gabriel_jesus,11_16,club_arsenal,00_1,Gabriel Jesus
player_eddie_nketiah,11_17,club_arsenal,00_1,Nketiah
player_emile_smith_rowe,11_18,club_arsenal,00_1,Smith Rowe
player_reiss_nelson,11_19,club_arsenal,00_1,Nelson
player_jorginho,11_20,club_arsenal,00_1,Jorginho
player_fabio_vieira,11_21,club_arsenal,00_1,Fábio Vieira
player_emiliano_martinez,11_22,club_aston_villa,00_1,Emi Martínez
player_matty_cash,11_23,club_aston_villa,00_1,Matty Cash
player_ezri_konsa,11_24,club_aston_villa,00_1,Ezri Konsa
player_pau_torres,11_25,club_aston_villa,00_1,Pau Torres
player_lucas_digne,11_26,club_aston_villa,00_1,Lucas Digne
player_boubacar_kamara,11_27,club_aston_villa,00_1,Boubacar Kamara
player_john_mcginn,11_28,club_aston_villa,00_1,McGinn
player_youri_tielemans,11_29,club_aston_villa,00_1,Tielemans
player_jacob_ramsey,11_30,club_aston_villa,00_1,Jacob Ramsey
player_leon_bailey,11_31,club_aston_villa,00_1,Leon Bailey
player_ollie_watkins,11_32,club_aston_villa,00_1,Ollie Watkins
player_morgan_rogers,11_33,club_aston_villa,00_1,Morgan Rogers
player_donyell_malen,11_34,club_aston_villa,00_1,Malen
player_marcus_rashford,11_35,club_aston_villa,00_1,Marcus Rashford
